Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
Antero Resources Corporation,Energy,6.0,1.1138054026666666,0.094936537,-0.00031598100000000223,0.12368735433333337,0.5561630616666666,1.2586361333333334,0.04871588666666667,0.4442844043333333,BB
"Anthem, Inc.",Health Care,7.0,1.7688555620000002,0.1057460885,0.034919726,0.056599203,0.5967791490000001,1.4824086950000002,0.103246764,0.0442922965,BBB
Aon plc,Finance,7.75,1.07700964425,0.026243445,0.10386986000000001,0.151282829,0.752977623,3.0879862865,0.1743171275,0.1341756235,A
Apache Corporation,Energy,7.4,1.401477228,0.30012059100000005,-20.3593980122,-24.8125102996,0.5571162021999999,2.0159336426,-1.7871223716000002,3.1576822848,BBB
Apple Inc.,Technology,9.0,1.0944417359999998,0.24009832999999997,0.22230075249999998,0.29599814950000003,0.5539848915,1.2560685655000001,0.4007775015,0.33719029,AA
"Applied Materials, Inc.",Technology,8.0,5.8585312305,3.3017674835,0.162846707,0.201644367,0.31262623349999996,0.005385525000000002,-0.47636659299999995,0.175539993,A
ArcelorMittal,Basic Industries,6.0,1.340815552,0.218709399,-0.035920294,-0.008170238000000002,0.5419255505,1.269450701,-0.061203240000000006,0.058744593500000004,BB
Archer-Daniels-Midland Company,Consumer Non-Durables,8.0,1.7570137274,0.0861325372,0.0231380404,0.029856226200000002,0.5535930298,1.2410891136,0.093341138,0.030120058999999998,A
Arcos Dorados Holdings Inc.,Consumer Services,6.0,0.87274366325,0.25422744725,0.00402970575,0.03669264075,0.53586203375,1.7066753009999998,-0.006921626749999996,0.053783403,BB
Armstrong World Industries Inc,Consumer Non-Durables,6.0,2.018794408,0.561081824,0.03892562,0.077438017,0.714402467,2.501430801,0.122528616,0.084173554,BB
Asbury Automotive Group Inc,Consumer Durables,5.5,1.2794523915,0.002781922,0.022350634,0.04574299,0.8303227049999999,5.1294526805,0.39441985300000004,0.018968506500000003,BB
"Ascena Retail Group, Inc.",Consumer Services,6.0,1.3925785925,0.2917681725,-0.010728673499999999,-0.002452555999999998,0.461529199,0.8591440214999999,-0.039608156,0.0840077925,BB
Atkore International Group Inc.,Miscellaneous,5.0,2.845988224,0.977819765,0.038595653,0.083313203,0.779106072,3.527059702,0.228559433,0.102827652,B
Atlantic Power Corporation,Energy,5.0,2.1230639155,0.3612193545,-1.3313116495,-1.5115458135000002,0.7060785855,2.504440624,-0.0359038735,5.601530089500001,B
Atmos Energy Corporation,Public Utilities,7.2,0.7821542906000001,0.0681381442,0.0616155146,0.127345112,0.6680315776,2.0228835572,0.0941356112,0.16284784459999999,BBB
"Autoliv, Inc.",Capital Goods,8.0,1.594125346,0.472243609,0.056295664,0.084150651,0.553434373,1.23931252,0.154220603,0.086205527,A
